country,economy_code,iso_code,region,income_group,year,wbl_index,mobility,living_choice,travel_outside_home,passport_apply,travel_outside_country,workplace,get_job,law_gender_discr,employ_harrass_legisl,employ_harrass_crim_penalty,pay,equal_pay,night_work,dangerous_job,industrial_job,marriage,law_married_obey,head_of_hh,legisl_dom_violence,obtain_judgement_divorce,rights_remarry,parenthood,mother_paid_leave_avail,paid_mat_leave_length,gov_benefits_mat_leave,father_paid_leave_avail,paid_pat_leave_length,paid_parental_leave_avail,shared_days,mother_num_days,father_num_days,dismiss_preg_workers,entrepreneurship,credit_access_gender_discrim,sign_contract,register_business,open_bank_acc,assets,immov_prop_ownership,children_inherit_assets,surviving_spouses_inherit_assets,spouses_admin_authority_assets,valuation_nonmon_contrib,pension,retire_age_full_benefits,retire_age_partial_benefits,mandatory_retire_age,pension_ben_childcare_absence,total,overnight,oneday,cruise,expenditures
Afghanistan,AFG,AFG,South Asia,Low income,2015,28.8,25,No,No,No,Yes,25,Yes,No,No,No,0,No,No,No,No,20,No,Yes,No,No,No,20,No,90,No,Yes,14,No,0,0,0,No,75,No,Yes,Yes,Yes,40,Yes,No,No,Yes,No,25,No,No,Yes,No,NA,NA,NA,NA,86000
Afghanistan,AFG,AFG,South Asia,Low income,2016,28.8,25,No,No,No,Yes,25,Yes,No,No,No,0,No,No,No,No,20,No,Yes,No,No,No,20,No,90,No,Yes,14,No,0,0,0,No,75,No,Yes,Yes,Yes,40,Yes,No,No,Yes,No,25,No,No,Yes,No,NA,NA,NA,NA,62000
Afghanistan,AFG,AFG,South Asia,Low income,2017,38.1,50,No,No,Yes,Yes,75,Yes,No,Yes,Yes,0,No,No,No,No,20,No,Yes,No,No,No,20,No,90,No,Yes,14,No,0,0,0,No,75,No,Yes,Yes,Yes,40,Yes,No,No,Yes,No,25,No,No,Yes,No,NA,NA,NA,NA,16000
Afghanistan,AFG,AFG,South Asia,Low income,2018,38.1,50,No,No,Yes,Yes,75,Yes,No,Yes,Yes,0,No,No,No,No,20,No,Yes,No,No,No,20,No,90,No,Yes,14,No,0,0,0,No,75,No,Yes,Yes,Yes,40,Yes,No,No,Yes,No,25,No,No,Yes,No,NA,NA,NA,NA,50000
Afghanistan,AFG,AFG,South Asia,Low income,2019,38.1,50,No,No,Yes,Yes,75,Yes,No,Yes,Yes,0,No,No,No,No,20,No,Yes,No,No,No,20,No,90,No,Yes,14,No,0,0,0,No,75,No,Yes,Yes,Yes,40,Yes,No,No,Yes,No,25,No,No,Yes,No,NA,NA,NA,NA,85000
Afghanistan,AFG,AFG,South Asia,Low income,2020,38.1,50,No,No,Yes,Yes,75,Yes,No,Yes,Yes,0,No,No,No,No,20,No,Yes,No,No,No,20,No,90,No,Yes,14,No,0,0,0,No,75,No,Yes,Yes,Yes,40,Yes,No,No,Yes,No,25,No,No,Yes,No,NA,NA,NA,NA,75000
Afghanistan,AFG,AFG,South Asia,Low income,2021,38.1,50,No,No,Yes,Yes,75,Yes,No,Yes,Yes,0,No,No,No,No,20,No,Yes,No,No,No,20,No,90,No,Yes,14,No,0,0,0,No,75,No,Yes,Yes,Yes,40,Yes,No,No,Yes,No,25,No,No,Yes,No,NA,NA,NA,NA,NA
Afghanistan,AFG,AFG,South Asia,Low income,2022,38.1,50,No,No,Yes,Yes,75,Yes,No,Yes,Yes,0,No,No,No,No,20,No,Yes,No,No,No,20,No,90,No,Yes,14,No,0,0,0,No,75,No,Yes,Yes,Yes,40,Yes,No,No,Yes,No,25,No,No,Yes,No,NA,NA,NA,NA,NA
Afghanistan,AFG,AFG,South Asia,Low income,2023,31.9,25,No,No,Yes,No,50,No,No,Yes,Yes,0,No,No,No,No,20,No,Yes,No,No,No,20,No,90,No,Yes,14,No,0,0,0,No,75,No,Yes,Yes,Yes,40,Yes,No,No,Yes,No,25,No,No,Yes,No,NA,NA,NA,NA,NA
Albania,ALB,ALB,Europe & Central Asia,Upper middle income,1995,65,100,Yes,Yes,Yes,Yes,25,Yes,No,No,No,75,No,Yes,Yes,Yes,80,Yes,Yes,No,Yes,Yes,40,Yes,365,Yes,No,0,No,0,0,0,No,75,No,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,25,No,No,No,Yes,304000,NA,NA,NA,70000
Albania,ALB,ALB,Europe & Central Asia,Upper middle income,1996,65,100,Yes,Yes,Yes,Yes,25,Yes,No,No,No,75,No,Yes,Yes,Yes,80,Yes,Yes,No,Yes,Yes,40,Yes,365,Yes,No,0,No,0,0,0,No,75,No,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,25,No,No,No,Yes,287000,NA,NA,NA,94000
Albania,ALB,ALB,Europe & Central Asia,Upper middle income,1997,77.5,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,75,No,Yes,Yes,Yes,80,Yes,Yes,No,Yes,Yes,40,Yes,365,Yes,No,0,No,0,0,0,No,75,No,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,50,No,No,Yes,Yes,119000,NA,NA,NA,34000
Albania,ALB,ALB,Europe & Central Asia,Upper middle income,1998,77.5,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,75,No,Yes,Yes,Yes,80,Yes,Yes,No,Yes,Yes,40,Yes,365,Yes,No,0,No,0,0,0,No,75,No,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,50,No,No,Yes,Yes,184000,NA,NA,NA,60000
Albania,ALB,ALB,Europe & Central Asia,Upper middle income,1999,77.5,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,75,No,Yes,Yes,Yes,80,Yes,Yes,No,Yes,Yes,40,Yes,365,Yes,No,0,No,0,0,0,No,75,No,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,50,No,No,Yes,Yes,371000,NA,NA,NA,218000
Albania,ALB,ALB,Europe & Central Asia,Upper middle income,2000,77.5,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,75,No,Yes,Yes,Yes,80,Yes,Yes,No,Yes,Yes,40,Yes,365,Yes,No,0,No,0,0,0,No,75,No,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,50,No,No,Yes,Yes,317000,NA,NA,NA,398000
Albania,ALB,ALB,Europe & Central Asia,Upper middle income,2001,77.5,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,75,No,Yes,Yes,Yes,80,Yes,Yes,No,Yes,Yes,40,Yes,365,Yes,No,0,No,0,0,0,No,75,No,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,50,No,No,Yes,Yes,354000,NA,NA,NA,451000
Albania,ALB,ALB,Europe & Central Asia,Upper middle income,2002,77.5,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,75,No,Yes,Yes,Yes,80,Yes,Yes,No,Yes,Yes,40,Yes,365,Yes,No,0,No,0,0,0,No,75,No,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,50,No,No,Yes,Yes,470000,NA,NA,NA,492000
Albania,ALB,ALB,Europe & Central Asia,Upper middle income,2003,77.5,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,75,No,Yes,Yes,Yes,80,Yes,Yes,No,Yes,Yes,40,Yes,365,Yes,No,0,No,0,0,0,No,75,No,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,50,No,No,Yes,Yes,557000,NA,NA,NA,537000
Albania,ALB,ALB,Europe & Central Asia,Upper middle income,2004,77.5,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,75,No,Yes,Yes,Yes,80,Yes,Yes,No,Yes,Yes,40,Yes,365,Yes,No,0,No,0,0,0,No,75,No,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,50,No,No,Yes,Yes,645000,NA,NA,NA,756000
Albania,ALB,ALB,Europe & Central Asia,Upper middle income,2005,80,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,75,No,Yes,Yes,Yes,80,Yes,Yes,No,Yes,Yes,60,Yes,365,Yes,No,0,No,0,0,0,Yes,75,No,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,50,No,No,Yes,Yes,748000,NA,NA,NA,880000
Albania,ALB,ALB,Europe & Central Asia,Upper middle income,2006,80,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,75,No,Yes,Yes,Yes,80,Yes,Yes,No,Yes,Yes,60,Yes,365,Yes,No,0,No,0,0,0,Yes,75,No,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,50,No,No,Yes,Yes,937000,NA,NA,NA,NA
Albania,ALB,ALB,Europe & Central Asia,Upper middle income,2007,80,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,75,No,Yes,Yes,Yes,80,Yes,Yes,No,Yes,Yes,60,Yes,365,Yes,No,0,No,0,0,0,Yes,75,No,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,50,No,No,Yes,Yes,1127000,1062000,65000,NA,NA
Albania,ALB,ALB,Europe & Central Asia,Upper middle income,2008,82.5,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,75,No,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,60,Yes,365,Yes,No,0,No,0,0,0,Yes,75,No,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,50,No,No,Yes,Yes,1420000,1247000,83000,NA,NA
Albania,ALB,ALB,Europe & Central Asia,Upper middle income,2009,82.5,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,75,No,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,60,Yes,365,Yes,No,0,No,0,0,0,Yes,75,No,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,50,No,No,Yes,Yes,1856000,1711000,64000,NA,NA
Albania,ALB,ALB,Europe & Central Asia,Upper middle income,2010,82.5,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,75,No,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,60,Yes,365,Yes,No,0,No,0,0,0,Yes,75,No,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,50,No,No,Yes,Yes,2417000,2191000,52000,NA,NA
Albania,ALB,ALB,Europe & Central Asia,Upper middle income,2011,85.6,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,75,No,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,60,Yes,365,Yes,No,0,No,0,0,0,Yes,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,50,No,No,Yes,Yes,2932000,2469000,67000,NA,NA
Albania,ALB,ALB,Europe & Central Asia,Upper middle income,2012,85.6,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,75,No,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,60,Yes,365,Yes,No,0,No,0,0,0,Yes,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,50,No,No,Yes,Yes,3514000,3156000,71000,NA,NA
Albania,ALB,ALB,Europe & Central Asia,Upper middle income,2013,85.6,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,75,No,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,60,Yes,365,Yes,No,0,No,0,0,0,Yes,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,50,No,No,Yes,Yes,3256000,2857000,220000,NA,NA
Albania,ALB,ALB,Europe & Central Asia,Upper middle income,2014,85.6,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,75,No,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,60,Yes,365,Yes,No,0,No,0,0,0,Yes,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,50,No,No,Yes,Yes,3673000,3341000,127000,NA,NA
Albania,ALB,ALB,Europe & Central Asia,Upper middle income,2015,85.6,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,75,No,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,60,Yes,365,Yes,No,0,No,0,0,0,Yes,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,50,No,No,Yes,Yes,4131000,3784000,162000,NA,NA
Albania,ALB,ALB,Europe & Central Asia,Upper middle income,2016,85.6,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,75,No,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,60,Yes,365,Yes,No,0,No,0,0,0,Yes,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,50,No,No,Yes,Yes,4736000,4070000,507000,NA,NA
Albania,ALB,ALB,Europe & Central Asia,Upper middle income,2017,91.3,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,80,Yes,365,Yes,Yes,3,No,0,0,0,Yes,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,50,No,No,Yes,Yes,5118000,4643000,293000,NA,NA
Albania,ALB,ALB,Europe & Central Asia,Upper middle income,2018,91.3,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,80,Yes,365,Yes,Yes,3,No,0,0,0,Yes,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,50,No,No,Yes,Yes,5927000,5340000,587000,NA,NA
Albania,ALB,ALB,Europe & Central Asia,Upper middle income,2019,91.3,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,80,Yes,365,Yes,Yes,3,No,0,0,0,Yes,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,50,No,No,Yes,Yes,6406000,6128000,278000,NA,NA
Albania,ALB,ALB,Europe & Central Asia,Upper middle income,2020,91.3,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,80,Yes,365,Yes,Yes,3,No,0,0,0,Yes,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,50,No,No,Yes,Yes,2658000,2604000,54000,NA,NA
Albania,ALB,ALB,Europe & Central Asia,Upper middle income,2021,91.3,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,80,Yes,365,Yes,Yes,3,No,0,0,0,Yes,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,50,No,No,Yes,Yes,5689000,5515000,174000,NA,NA
Albania,ALB,ALB,Europe & Central Asia,Upper middle income,2022,91.3,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,80,Yes,365,Yes,Yes,3,No,0,0,0,Yes,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,50,No,No,Yes,Yes,NA,NA,NA,NA,NA
Albania,ALB,ALB,Europe & Central Asia,Upper middle income,2023,91.3,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,80,Yes,365,Yes,Yes,3,No,0,0,0,Yes,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,50,No,No,Yes,Yes,NA,NA,NA,NA,NA
Algeria,DZA,DZA,Middle East & North Africa,Lower middle income,1995,43.8,50,Yes,No,No,Yes,25,Yes,No,No,No,50,Yes,No,No,Yes,0,No,No,No,No,No,60,Yes,98,Yes,Yes,3,No,0,0,0,No,75,No,Yes,Yes,Yes,40,Yes,No,No,Yes,No,50,No,Yes,No,Yes,520000,NA,NA,NA,NA
Algeria,DZA,DZA,Middle East & North Africa,Lower middle income,1996,43.8,50,Yes,No,No,Yes,25,Yes,No,No,No,50,Yes,No,No,Yes,0,No,No,No,No,No,60,Yes,98,Yes,Yes,3,No,0,0,0,No,75,No,Yes,Yes,Yes,40,Yes,No,No,Yes,No,50,No,Yes,No,Yes,605000,NA,NA,NA,NA
Algeria,DZA,DZA,Middle East & North Africa,Lower middle income,1997,43.8,50,Yes,No,No,Yes,25,Yes,No,No,No,50,Yes,No,No,Yes,0,No,No,No,No,No,60,Yes,98,Yes,Yes,3,No,0,0,0,No,75,No,Yes,Yes,Yes,40,Yes,No,No,Yes,No,50,No,Yes,No,Yes,635000,NA,NA,NA,NA
Algeria,DZA,DZA,Middle East & North Africa,Lower middle income,1998,40.6,50,Yes,No,No,Yes,25,Yes,No,No,No,50,Yes,No,No,Yes,0,No,No,No,No,No,60,Yes,98,Yes,Yes,3,No,0,0,0,No,75,No,Yes,Yes,Yes,40,Yes,No,No,Yes,No,25,No,No,No,Yes,678000,NA,NA,NA,NA
Algeria,DZA,DZA,Middle East & North Africa,Lower middle income,1999,40.6,50,Yes,No,No,Yes,25,Yes,No,No,No,50,Yes,No,No,Yes,0,No,No,No,No,No,60,Yes,98,Yes,Yes,3,No,0,0,0,No,75,No,Yes,Yes,Yes,40,Yes,No,No,Yes,No,25,No,No,No,Yes,749000,NA,NA,NA,NA
Algeria,DZA,DZA,Middle East & North Africa,Lower middle income,2000,40.6,50,Yes,No,No,Yes,25,Yes,No,No,No,50,Yes,No,No,Yes,0,No,No,No,No,No,60,Yes,98,Yes,Yes,3,No,0,0,0,No,75,No,Yes,Yes,Yes,40,Yes,No,No,Yes,No,25,No,No,No,Yes,866000,NA,NA,NA,NA
Algeria,DZA,DZA,Middle East & North Africa,Lower middle income,2001,40.6,50,Yes,No,No,Yes,25,Yes,No,No,No,50,Yes,No,No,Yes,0,No,No,No,No,No,60,Yes,98,Yes,Yes,3,No,0,0,0,No,75,No,Yes,Yes,Yes,40,Yes,No,No,Yes,No,25,No,No,No,Yes,901000,NA,NA,NA,NA
Algeria,DZA,DZA,Middle East & North Africa,Lower middle income,2002,40.6,50,Yes,No,No,Yes,25,Yes,No,No,No,50,Yes,No,No,Yes,0,No,No,No,No,No,60,Yes,98,Yes,Yes,3,No,0,0,0,No,75,No,Yes,Yes,Yes,40,Yes,No,No,Yes,No,25,No,No,No,Yes,988000,NA,NA,NA,NA
Algeria,DZA,DZA,Middle East & North Africa,Lower middle income,2003,40.6,50,Yes,No,No,Yes,25,Yes,No,No,No,50,Yes,No,No,Yes,0,No,No,No,No,No,60,Yes,98,Yes,Yes,3,No,0,0,0,No,75,No,Yes,Yes,Yes,40,Yes,No,No,Yes,No,25,No,No,No,Yes,1166000,NA,NA,NA,NA
Algeria,DZA,DZA,Middle East & North Africa,Lower middle income,2004,40.6,50,Yes,No,No,Yes,25,Yes,No,No,No,50,Yes,No,No,Yes,0,No,No,No,No,No,60,Yes,98,Yes,Yes,3,No,0,0,0,No,75,No,Yes,Yes,Yes,40,Yes,No,No,Yes,No,25,No,No,No,Yes,1234000,NA,NA,NA,NA
Algeria,DZA,DZA,Middle East & North Africa,Lower middle income,2005,40.6,50,Yes,No,No,Yes,25,Yes,No,No,No,50,Yes,No,No,Yes,0,No,No,No,No,No,60,Yes,98,Yes,Yes,3,No,0,0,0,No,75,No,Yes,Yes,Yes,40,Yes,No,No,Yes,No,25,No,No,No,Yes,1443000,NA,NA,NA,477000
Algeria,DZA,DZA,Middle East & North Africa,Lower middle income,2006,55,75,Yes,Yes,No,Yes,75,Yes,No,Yes,Yes,50,Yes,No,No,Yes,40,Yes,Yes,No,No,No,60,Yes,98,Yes,Yes,3,No,0,0,0,No,75,No,Yes,Yes,Yes,40,Yes,No,No,Yes,No,25,No,No,No,Yes,1638000,NA,NA,NA,393000
Algeria,DZA,DZA,Middle East & North Africa,Lower middle income,2007,55,75,Yes,Yes,No,Yes,75,Yes,No,Yes,Yes,50,Yes,No,No,Yes,40,Yes,Yes,No,No,No,60,Yes,98,Yes,Yes,3,No,0,0,0,No,75,No,Yes,Yes,Yes,40,Yes,No,No,Yes,No,25,No,No,No,Yes,1743000,NA,NA,NA,334000
